Date,Available,Missing,Complete
2013-05-12,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-13,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-14,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-15,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-16,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-17,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-18,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-19,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-20,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-21,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-22,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-23,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-24,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-25,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-26,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-27,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-28,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-29,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-30,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-05-31,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-01,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-02,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-03,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-04,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-05,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-06,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-07,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-08,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-09,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-10,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-11,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-12,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-13,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-14,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-15,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-16,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-17,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-18,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-19,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-20,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-21,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-22,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-23,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-24,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-25,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-26,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-27,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-28,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-29,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-06-30,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-01,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-02,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-03,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-04,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-05,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-06,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-07,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-08,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-09,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-10,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-11,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-12,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-13,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-14,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-15,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-16,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-17,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-18,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-19,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-20,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-21,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-22,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-23,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-24,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-25,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-26,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-27,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-28,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-29,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-30,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-07-31,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-01,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-02,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-03,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-04,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-05,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-06,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-07,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-08,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-09,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
2013-08-10,"{'DNB_BRDF_Corrected_NTL', 'Mandatory_Quality_Flag', 'Gap_Filled_DNB_BRDF_Corrected_NTL', 'Snow_Flag', 'DNB_Lunar_Irradiance', 'Latest_High_Quality_Retrieval', 'QF_Cloud_Mask'}",,True
